agent_name,ll_time,cls_id
agent_0,0,25
agent_0,0,21
agent_0,0,1
agent_0,0,66
agent_0,0,59
agent_0,1,91
agent_0,1,41
agent_0,1,73
agent_0,1,57
agent_0,1,93
agent_0,2,11
agent_0,2,72
agent_0,2,38
agent_0,2,75
agent_0,2,60
agent_0,3,54
agent_0,3,43
agent_0,3,94
agent_0,3,20
agent_0,3,89
agent_0,4,88
agent_0,4,78
agent_0,4,18
agent_0,4,45
agent_0,4,49
agent_0,5,34
agent_0,5,37
agent_0,5,53
agent_0,5,7
agent_0,5,9
agent_0,6,80
agent_0,6,46
agent_0,6,10
agent_0,6,69
agent_0,6,19
agent_0,7,58
agent_0,7,74
agent_0,7,47
agent_0,7,95
agent_0,7,76
agent_0,8,65
agent_0,8,64
agent_0,8,29
agent_0,8,15
agent_0,8,8
agent_0,9,2
agent_0,9,67
agent_0,9,81
agent_0,9,4
agent_0,9,82
agent_0,10,70
agent_0,10,16
agent_0,10,48
agent_0,10,77
agent_0,10,5
agent_0,11,22
agent_0,11,83
agent_0,11,23
agent_0,11,0
agent_0,11,92
agent_0,12,39
agent_0,12,40
agent_0,12,84
agent_0,12,24
agent_0,12,86
agent_0,13,14
agent_0,13,44
agent_0,13,85
agent_0,13,26
agent_0,13,3
agent_0,14,63
agent_0,14,36
agent_0,14,79
agent_0,14,99
agent_0,14,17
agent_0,15,68
agent_0,15,33
agent_0,15,50
agent_0,15,13
agent_0,15,62
agent_0,16,27
agent_0,16,6
agent_0,16,55
agent_0,16,52
agent_0,16,56
agent_0,17,31
agent_0,17,51
agent_0,17,42
agent_0,17,87
agent_0,17,71
agent_0,18,30
agent_0,18,12
agent_0,18,90
agent_0,18,98
agent_0,18,96
agent_0,19,97
agent_0,19,32
agent_0,19,28
agent_0,19,35
agent_0,19,61
